Title,Year,Duration,Rating,Metascore,Synopsis
Dune: Part Two,2024,2h 46m,8.5,79,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
Interstellar,2014,2h 49m,8.7,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
The Shawshank Redemption,1994,2h 22m,9.3,82,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
Gisaengchung,2019,2h 12m,8.5,97,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
The Godfather,1972,2h 55m,9.2,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Pulp Fiction,1994,2h 34m,8.9,95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Gladiator,2000,2h 35m,8.5,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
The Pianist,2002,2h 30m,8.5,85,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
Inception,2010,2h 28m,8.8,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Dark Knight,2008,2h 32m,9.0,84,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
Se7en,1995,2h 7m,8.6,65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Inglourious Basterds,2009,2h 33m,8.4,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Schindler's List,1993,3h 15m,9.0,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Fight Club,1999,2h 19m,8.8,67,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Whiplash,2014,1h 46m,8.5,89,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
The Departed,2006,2h 31m,8.5,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Saving Private Ryan,1998,2h 49m,8.6,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
American Beauty,1999,2h 2m,8.3,84,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Django Unchained,2012,2h 45m,8.5,81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
The Green Mile,1999,3h 9m,8.6,61,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
GoodFellas,1990,2h 25m,8.7,92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
The Silence of the Lambs,1991,1h 58m,8.6,86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
The Matrix,1999,2h 16m,8.7,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
The Prestige,2006,2h 10m,8.5,66,Rival 19th-century magicians engage in a bitter battle for trade secrets.
